property_type,location_area,area,price_million,unit_price_million_m2,bedrooms,bathrooms,floors,distance_to_cbd_km,has_furniture,car_alley
Nhà riêng,Unknown,97.4,2900.0,29.8,,,1.0,26.47,0,0
Căn hộ chung cư,Quận 8,57.0,27000.0,473.7,1.0,,,,0,0
Nhà riêng,Quận 3,64.0,28600.0,446.9,,,,,0,0
Nhà riêng,Unknown,42.0,3100.0,73.8,2.0,2.0,2.0,13.81,0,0
Căn hộ chung cư,Quận 10,71.0,5000.0,70.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,69.0,1650.0,23.9,2.0,,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,67.0,4690.0,70.0,1.0,2.0,1.0,,0,0
Căn hộ chung cư,Unknown,131.0,5100.0,38.9,3.0,,,,0,0
Căn hộ chung cư,Quận Tân Phú,67.0,3750.0,56.0,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,69.0,1710.0,24.8,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,80.0,6400.0,80.0,,,,,0,0
Căn hộ chung cư,Quận 4,65.0,1960.0,30.2,2.0,2.0,,,0,0
Nhà riêng,Unknown,24.0,8900.0,370.8,,,3.0,3.14,0,0
Căn hộ chung cư,Huyện Bình Chánh,114.0,3000.0,26.3,3.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,68.0,3800.0,55.9,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,98.0,37000.0,377.6,3.0,2.0,,,0,0
Nhà riêng,Quận Bình Thạnh,63.0,11600.0,184.1,,,,,0,0
Căn hộ chung cư,Quận 4,58.0,5700.0,98.3,2.0,1.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,90.0,7000.0,77.8,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 4,80.0,1780.0,22.2,2.0,,,,0,0
Căn hộ chung cư,Quận 4,70.0,5200.0,74.3,2.0,,,,0,0
Căn hộ chung cư,Quận 6,105.0,4600.0,43.8,3.0,,,,0,0
Căn hộ chung cư,Quận Gò Vấp,129.0,18500.0,143.4,8.0,11.0,,,0,0
Căn hộ chung cư,Quận 8,68.0,3550.0,52.2,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Phú Nhuận,96.0,7700.0,80.2,3.0,,,,0,0
Căn hộ chung cư,Quận 8,75.0,21000.0,280.0,2.0,,,,0,0
Nhà riêng,Quận Tân Bình,85.0,15000.0,176.5,4.0,,4.0,,0,0
Nhà riêng,Quận Gò Vấp,42.0,5200.0,123.8,2.0,2.0,2.0,7.12,0,0
Căn hộ chung cư,Quận 7,78.0,3750.0,48.1,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Tân,210.0,19900.0,94.8,2.0,2.0,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,68.0,3000.0,44.1,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,90.0,5700.0,63.3,,,0.0,,0,0
Căn hộ chung cư,Quận 1,97.0,22000.0,226.8,3.0,,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,85.0,9800.0,115.3,,,,,0,0
Căn hộ chung cư,Quận 7,70.0,6200.0,88.6,2.0,2.0,,,0,0
Nhà riêng,Unknown,102.0,3100.0,30.4,2.0,1.0,2.0,16.09,0,0
Căn hộ chung cư,Quận Bình Thạnh,98.0,9000.0,91.8,3.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,67.0,2900.0,43.3,2.0,2.0,,,0,0
Nhà riêng,Unknown,35.4,15000.0,423.7,,,,0.57,0,0
Căn hộ chung cư,Quận 12,73.0,2220.0,30.4,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,68.0,1560.0,22.9,2.0,,,,0,0
Nhà riêng,Quận Bình Tân,122.0,6990.0,57.3,,,,,0,0
Căn hộ chung cư,Quận 8,312.0,8800.0,28.2,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,74.0,4150.0,56.1,,,,,0,0
Căn hộ chung cư,Quận 8,95.0,3850.0,40.5,3.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,82.0,3650.0,44.5,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 3,82.0,44000.0,536.6,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,72.0,48000.0,666.7,,2.0,,,0,0
Căn hộ chung cư,Quận 11,150.0,9000.0,60.0,3.0,3.0,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,85.0,2500.0,29.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,85.0,6100.0,71.8,3.0,2.0,,,0,0
Nhà riêng,Quận 11,111.0,42000.0,378.4,6.0,7.0,5.0,,0,0
Căn hộ chung cư,Quận 7,200.0,18500.0,92.5,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Tân Bình,48.0,8500.0,177.1,,,,,0,0
Căn hộ chung cư,Quận 8,99.0,3000.0,30.3,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,70.0,3400.0,48.6,,,,,0,0
Căn hộ chung cư,Quận Gò Vấp,79.0,46000.0,582.3,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,70.0,3230.0,46.1,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 5,70.0,2680.0,38.3,2.0,2.0,,,0,0
Căn hộ chung cư,Huyện Hóc Môn,60.0,1200.0,20.0,2.0,1.0,,,0,0
Căn hộ chung cư,Quận 4,65.0,6390.0,98.3,2.0,1.0,,,0,0
Căn hộ chung cư,Quận 5,80.0,7000.0,87.5,2.0,,,,0,0
Căn hộ chung cư,Quận 1,109.0,23900.0,219.3,3.0,,,,0,0
Căn hộ chung cư,Quận 7,65.0,4000.0,61.5,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,56.0,27000.0,482.1,1.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,75.0,3000.0,40.0,,,,,0,0
Căn hộ chung cư,Quận 10,90.0,4000.0,44.4,,,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,120.0,8400.0,70.0,3.0,,,,0,0
Căn hộ chung cư,Quận Tân Phú,120.0,8600.0,71.7,3.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,59.0,3600.0,61.0,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 4,85.0,10000.0,117.6,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,53.0,27000.0,509.4,,,,,0,0
Căn hộ chung cư,Quận 7,76.0,5200.0,68.4,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,69.0,2600.0,37.7,2.0,,,,0,0
Căn hộ chung cư,Quận Bình Tân,66.0,24000.0,363.6,2.0,2.0,,,0,0
Nhà riêng,Quận 12,53.0,5450.0,102.8,4.0,,3.0,,0,0
Căn hộ chung cư,Huyện Hóc Môn,70.0,1450.0,20.7,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,103.0,5400.0,52.4,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,112.0,6500.0,58.0,,,1.0,,0,0
Căn hộ chung cư,Quận 7,121.0,19000.0,157.0,3.0,2.0,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,88.0,3800.0,43.2,2.0,,,,0,0
Căn hộ chung cư,Quận 7,84.0,6000.0,71.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Tân,82.0,4200.0,51.2,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,146.0,15000.0,102.7,3.0,,,,0,0
Nhà riêng,Quận Tân Phú,51.0,7500.0,147.1,4.0,,4.0,,0,0
Nhà riêng,Quận 7,168.0,17500.0,104.2,7.0,,4.0,,0,0
Căn hộ chung cư,TP. Thủ Đức,69.0,3000.0,43.5,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Tân,83.0,5300.0,63.9,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 4,75.0,1850.0,24.7,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,68.0,28000.0,411.8,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 10,70.0,5000.0,71.4,2.0,2.0,,,0,0
Nhà riêng,Quận Bình Thạnh,112.0,21000.0,187.5,,,,,0,0
Căn hộ chung cư,Quận 1,110.0,20700.0,188.2,,,,,0,0
Căn hộ chung cư,Quận 7,65.0,5300.0,81.5,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,54.0,3000.0,55.6,1.0,1.0,,,0,0
Căn hộ chung cư,Quận 10,71.0,5300.0,74.6,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 1,56.0,20000.0,357.1,1.0,,,,0,0
Căn hộ chung cư,Quận 8,54.0,3180.0,58.9,2.0,1.0,,,0,0
Căn hộ chung cư,Quận 7,120.0,8500.0,70.8,3.0,,,,0,0
Căn hộ chung cư,Quận Tân Bình,75.0,4200.0,56.0,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,73.0,3000.0,41.1,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,50.0,31000.0,620.0,1.0,,,,0,0
Căn hộ chung cư,Quận 7,100.0,7500.0,75.0,3.0,,,,0,0
Căn hộ chung cư,Quận 4,86.0,42000.0,488.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,75.0,9100.0,121.3,1.0,,,,0,0
Nhà riêng,Huyện Nhà Bè,130.0,7500.0,57.7,4.0,5.0,4.0,,0,0
Căn hộ chung cư,TP. Thủ Đức,82.0,4410.0,53.8,3.0,2.0,,,0,0
Nhà riêng,Unknown,59.0,7990.0,135.4,4.0,4.0,4.0,9.37,0,0
Căn hộ chung cư,TP. Thủ Đức,177.0,15000.0,84.7,,,,,0,0
Nhà riêng,Quận Phú Nhuận,83.0,8200.0,98.8,4.0,5.0,4.0,,0,0
Căn hộ chung cư,Quận Tân Phú,83.0,35000.0,421.7,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,59.0,2450.0,41.5,2.0,,,,0,0
Nhà riêng,Unknown,56.5,6400.0,113.3,5.0,,4.0,11.51,0,0
Căn hộ chung cư,Quận 4,67.0,21000.0,313.4,2.0,,,,0,0
Nhà riêng,Unknown,55.0,10300.0,187.3,5.0,3.0,4.0,5.65,0,0
Căn hộ chung cư,TP. Thủ Đức,180.0,5850.0,32.5,3.0,,2.0,,0,0
Căn hộ chung cư,Quận Bình Thạnh,106.0,13000.0,122.6,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 10,80.0,5250.0,65.6,2.0,,,,0,0
Căn hộ chung cư,Quận Tân Bình,77.0,4500.0,58.4,2.0,,,,0,0
Nhà riêng,Quận Gò Vấp,82.5,8830.0,107.0,,4.0,4.0,,0,0
Căn hộ chung cư,Quận 10,80.0,5250.0,65.6,2.0,,,,0,0
Căn hộ chung cư,Quận Tân Bình,100.0,4800.0,48.0,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,180.0,16000.0,88.9,3.0,3.0,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,53.0,2150.0,40.6,1.0,1.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,55.0,2500.0,45.5,2.0,,,,0,0
Nhà riêng,Quận 12,94.0,5100.0,54.3,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,141.0,13000.0,92.2,,,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,58.0,31000.0,534.5,2.0,1.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,60.0,2700.0,45.0,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 8,75.0,18000.0,240.0,3.0,2.0,,,0,0
